"","Mutation_count","Gene_symbol","Chromosome"
"2952",4,"GSTT1","chr22"
"29774",4,"POM121L9P","chr22"
"29781",4,"NCAPH2","chr22"
"29799",4,"YPEL1","chr22"
"376844",4,"SDC4P","chr22"
"3957",4,"LGALS2","chr22"
"400932",4,"LINC00898","chr22"
"51733",4,"UPB1","chr22"
"55964",4,"SEPTIN3","chr22"
"649264",4,"CES5AP1","chr22"
"7008",4,"TEF","chr22"
"706",4,"TSPO","chr22"
"728229",4,"TMEM191B","chr22"
"730005",4,"SEC14L6","chr22"
"79640",4,"C22orf46P","chr22"
"8318",4,"CDC45","chr22"
"83933",4,"HDAC10","chr22"
"84222",4,"TMEM191A","chr22"
"8484",4,"GALR3","chr22"
"84844",4,"PHF5A","chr22"
"8508",4,"NIPSNAP1","chr22"
"91689",4,"SMDT1","chr22"
"9402",4,"GRAP2","chr22"
"9514",4,"GAL3ST1","chr22"
"100132273",3,"NDUFA6-DT","chr22"
"100302197",3,"MIR1306","chr22"
"100313914",3,"MIR548J","chr22"
"100422916",3,"MIR3201","chr22"
"100616415",3,"MIR4535","chr22"
"10633",3,"RASL10A","chr22"
"11015",3,"KDELR3","chr22"
"11144",3,"DMC1","chr22"
"1375",3,"CPT1B","chr22"
"1413",3,"CRYBA4","chr22"
"150381",3,"PRR34-AS1","chr22"
"158",3,"ADSL","chr22"
"1652",3,"DDT","chr22"
"23209",3,"MLC1","chr22"
"23523",3,"CABIN1","chr22"
"23598",3,"PATZ1","chr22"
"255349",3,"LHFPL7","chr22"
"25787",3,NA,"chr22"
"25829",3,"TMEM184B","chr22"
"26226",3,"FBXW4P1","chr22"
"26807",3,"SNORD43","chr22"
"27037",3,"TRMT2A","chr22"
"27437",3,"HSFY1P1","chr22"
"29775",3,"CARD10","chr22"
"387590",3,"TPTEP1","chr22"
"400916",3,"CHCHD10","chr22"
"407039",3,"MIR33A","chr22"
"4320",3,"MMP11","chr22"
"4809",3,"SNU13","chr22"
"51386",3,"EIF3L","chr22"
"54471",3,"MIEF1","chr22"
"637",3,"BID","chr22"
"63929",3,"XPNPEP3","chr22"
"646074",3,"POM121L10P","chr22"
"6525",3,"SMTN","chr22"
"66035",3,"SLC2A11","chr22"
"7078",3,"TIMP3","chr22"
"728233",3,"PI4KAP1","chr22"
"7290",3,"HIRA","chr22"
"80305",3,"TRABD","chr22"
"80830",3,"APOL6","chr22"
"83733",3,"SLC25A18","chr22"
"84164",3,"ASCC2","chr22"
"84861",3,"KLHL22","chr22"
"85371",3,"KIAA1656","chr22"
"85377",3,"MICALL1","chr22"
"91445",3,"RNF185","chr22"
"100130899",2,NA,"chr22"
"100144603",2,"CHKB-DT","chr22"
"100422912",2,"MIR3200","chr22"
"100500828",2,"MIR3619","chr22"
"100500833",2,NA,"chr22"
"100500901",2,"MIR3928","chr22"
"100506472",2,"LOC100506472","chr22"
"100616253",2,"MIR4762","chr22"
"100874123",2,"ZNRF3-AS1","chr22"
"100913187",2,"APOBEC3A_B","chr22"
"10478",2,"SLC25A17","chr22"
"129138",2,"ANKRD54","chr22"
"140606",2,"SELENOM","chr22"
"150350",2,"ENTHD1","chr22"
"157",2,"GRK3","chr22"
"1890",2,"TYMP","chr22"
"200315",2,"APOBEC3A","chr22"
"2033",2,"EP300","chr22"
"2130",2,"EWSR1","chr22"
"23264",2,"ZC3H7B","chr22"
"25807",2,"RHBDD3","chr22"
"266697",2,"POM121L4P","chr22"
"27350",2,"APOBEC3C","chr22"
"27351",2,"DESI1","chr22"
"27440",2,"HDHD5","chr22"
"284900",2,"TTC28-AS1","chr22"
"284942",2,"RPL23AP82","chr22"
"2928",2,"GSC2","chr22"
"3162",2,"HMOX1","chr22"
"339669",2,"CIMIP4","chr22"
"339674",2,"SMIM45","chr22"
"3560",2,"IL2RB","chr22"
"388906",2,"OGFRP1","chr22"
"400891",2,"LRRC74B","chr22"
"406961",2,"MIR185","chr22"
"439931",2,"THAP7-AS1","chr22"
"440799",2,"P2RX6P","chr22"
"49",2,"ACR","chr22"
"51233",2,"DRICH1","chr22"
"51512",2,"GTSE1","chr22"
"55000",2,"TUG1","chr22"
"55020",2,"TTC38","chr22"
"5880",2,"RAC2","chr22"
"644186",2,"SYCE3","chr22"
"64976",2,"MRPL40","chr22"
"65078",2,"RTN4R","chr22"
"6527",2,"SLC5A4","chr22"
"653399",2,"GSTTP2","chr22"
"6663",2,"SOX10","chr22"
"724028",2,"MIR658","chr22"
"724029",2,"MIR659","chr22"
"7477",2,"WNT7B","chr22"
"79879",2,"CCDC134","chr22"
"80339",2,"PNPLA3","chr22"
"83874",2,"TBC1D10A","chr22"
"84645",2,"C22orf23","chr22"
"85358",2,"SHANK3","chr22"
"91582",2,"RPS19BP1","chr22"
"9582",2,"APOBEC3B","chr22"
"9929",2,"JOSD1","chr22"
"100037417",1,"DDTL","chr22"
"100130717",1,"HDHD5-AS1","chr22"
"100192420",1,"LINC01634","chr22"
"100302149",1,"MIR1249","chr22"
"100302237",1,"MIR1281","chr22"
"100422998",1,"MIR3199-2","chr22"
"100506241",1,"LL22NC01-81G9.3","chr22"
"10291",1,"SF3A1","chr22"
"10343",1,"PKDREJ","chr22"
"10369",1,"CACNG2","chr22"
"10740",1,"RFPL1S","chr22"
"11135",1,"CDC42EP1","chr22"
"11200",1,"CHEK2","chr22"
"113691",1,"TUBA3FP","chr22"
"1414",1,"CRYBB1","chr22"
"1417",1,"CRYBB3","chr22"
"150185",1,"LINC00895","chr22"
"150248",1,"C22orf15","chr22"
"150274",1,"HSCB","chr22"
"150280",1,"HORMAD2","chr22"
"150291",1,"MORC2-AS1","chr22"
"150353",1,"DNAJB7","chr22"
"150383",1,"CDPF1","chr22"
"171568",1,"POLR3H","chr22"
"22880",1,"MORC2","chr22"
"23753",1,"SDF2L1","chr22"
"23760",1,"PITPNB","chr22"
"23782",1,"AP1B1P1","chr22"
"23783",1,"ANKRD62P1-PARP4P3","chr22"
"25770",1,"C22orf31","chr22"
"25774",1,"GSTT4","chr22"
"25812",1,"POM121L1P","chr22"
"25814",1,"ATXN10","chr22"
"27442",1,"CECR3","chr22"
"400892",1,"BCRP2","chr22"
"4330",1,"MN1","chr22"
"4357",1,"MPST","chr22"
"54584",1,"GNB1L","chr22"
"5465",1,"PPARA","chr22"
"55687",1,"TRMU","chr22"
"55954",1,"ZMAT5","chr22"
"638",1,"BIK","chr22"
"644165",1,"BCRP3","chr22"
"646023",1,"ADORA2A-AS1","chr22"
"6767",1,"ST13","chr22"
"79680",1,"RTL10","chr22"
"79734",1,"KCTD17","chr22"
"85359",1,"DGCR6L","chr22"
"8664",1,"EIF3D","chr22"
"90834",1,NA,"chr22"
"91227",1,"GGTLC2","chr22"
"91695",1,"RRP7BP","chr22"
"9463",1,"PICK1","chr22"
"9647",1,"PPM1F","chr22"
"96610",1,"BMS1P20","chr22"
